crop_slug,crop_name_en,crop_scientific,issue_slug,issue_name_en,issue_type,issue_severity,issue_scientific,issue_symptoms,product_sku,product_name,product_category,product_active_ingredients,product_certifications,dosage,application,frequency,pre_harvest_interval_days,precautions,notes_en,rank,approved_by
cotton,Cotton,Gossypium hirsutum,pink_bollworm,Pink Bollworm,pest,high,Pectinophora gossypiella,boll damage with pink larvae inside;rosette flowers;premature boll opening,SPINDURA-PLUS-250,Spindura™ Plus,bio-pesticide,Spinosad 25.2% SC,OMRI Listed;ECOCERT;ISO 9001:2015;GMP Certified,0.25-0.35 ml per litre of water,Foliar spray targeting boll formation zone,Every 7-10 days; 2-3 sprays at boll-formation stage,3,Apply at early larval stage;Rotate modes of action;Spray during off-peak pollinator hours;Wear PPE,Spinosad causes rapid feeding cessation and larval mortality by acting on nicotinic acetylcholine receptors. Highly effective on early-instar pink bollworm larvae.,10,Dr. Krish
cotton,Cotton,Gossypium hirsutum,whitefly_cotton,Whitefly,pest,high,Bemisia tabaci,yellowing;leaf curl;honeydew;sooty mould;cotton leafroll virus vector,MARGOSPIN-EC-500,MargoSpin™ EC,bio-pesticide,Neem Oil 70% + Spinosad 0.8% EC,OMRI Listed;ECOCERT;ISO 9001:2015;GMP Certified,5 ml per litre of water,Foliar spray on both leaf surfaces,Every 7-10 days; 2-3 sprays,3,Wear PPE;Spray in early morning or evening;Avoid alkaline mixes;Confirm with jar test,Dual-active combination of neem oil deterrence and spinosad knockdown addresses both sucking adult whiteflies and early instar larvae simultaneously.,10,Dr. Krish
cotton,Cotton,Gossypium hirsutum,aphids_cotton,Aphids,pest,medium,Aphis gossypii,leaf curl;honeydew;sooty mould;stunted growth;plant vigor loss,MARGOSHINE-EC-500,MargoShine™ EC,bio-pesticide,Neem Oil 70% EC,OMRI Listed;ECOCERT;ISO 9001:2015;GMP Certified,5 ml per litre of water,Foliar spray covering both leaf surfaces,Every 10-15 days; 2-3 sprays,3,Spray in morning or late afternoon;Wear mask and gloves;Avoid alkaline mixes,Neem oil provides contact smothering and antifeedant effect on aphid nymphs and adults; reduces honeydew and sooty mould build-up on cotton.,10,Dr. Krish
paddy,Paddy,Oryza sativa,brown_plant_hopper,Brown Plant Hopper,pest,high,Nilaparvata lugens,hopper burn (circular yellowing patches);drying of plants;insects at plant base,REXORA-WP-500,Rexora™ WP,bio-pesticide,Metarhizium anisopliae 1x10^9 CFU/g WP,OMRI Listed;ECOCERT;ISO 9001:2015;GMP Certified,2-3 g per litre of water,Direct spray at plant base; maintain water film in field,Every 10-15 days; 2-3 sprays,7,Spray in evening hours;Maintain field water level;Wear mask and gloves;Avoid mixing with fungicides,Metarhizium anisopliae infects BPH through cuticle penetration at plant base. Soil moisture supports spore germination and infection. Organic and resistance-friendly.,10,Dr. Krish
paddy,Paddy,Oryza sativa,leaf_folder,Leaf Folder,pest,medium,Cnaphalocrocis medinalis,folded leaves tied with silk;feeding marks inside fold;whitish streaks on leaves,SPINDURA-PRO-250,Spindura™ Pro,bio-pesticide,Spinosad 2.5% SC,OMRI Listed;ECOCERT;ISO 9001:2015;GMP Certified,1-1.5 ml per litre of water,Foliar spray on leaf canopy,Every 7-10 days; 2 sprays,3,Apply at early larval stage;Wear PPE;Spray off-peak pollinator hours;Rotate modes of action,Spinosad targets early-instar leaf folder larvae with rapid feeding cessation. Most effective when sprayed at first sign of leaf folding.,10,Dr. Krish
paddy,Paddy,Oryza sativa,blast,Blast Disease,disease,high,Magnaporthe oryzae,diamond-shaped lesions on leaves;neck rot;panicle blast;white to grey centers with brown margins,ELIXORA-WP-1KG,Elixora™ WP,bio-fungicide,Bacillus amyloliquefaciens 1x10^9 CFU/g WP,OMRI Listed;ECOCERT;ISO 9001:2015;GMP Certified,5 g per litre of water,Foliar spray; cover leaf and panicle surface,Every 10-15 days; 2-3 sprays from tillering to heading,0,Do not mix with fungicides;Store below 25°C;Apply preventively before blast onset,Bacillus amyloliquefaciens produces antagonistic lipopeptides that suppress Magnaporthe sporulation. Preventive application at tillering and booting stages is most effective.,10,Dr. Krish
cucumber,Cucumber,Cucumis sativus,powdery_mildew,Powdery Mildew,disease,medium,Podosphaera xanthii,white powdery patches on leaves and stems;yellowing;leaf distortion;reduced fruit set,SUBTILIX-WP-1KG,Subtilix™ WP,bio-fungicide,Bacillus subtilis 1x10^9 CFU/g WP,OMRI Listed;ECOCERT;ISO 9001:2015;GMP Certified,5 g per litre of water,Foliar spray covering all leaf surfaces,Every 10-15 days; 2-3 sprays,0,Avoid mixing with fungicides;Store below 25°C;Apply at first sign of infection,Bacillus subtilis rapidly colonises leaf surfaces and produces lipopeptides that disrupt powdery mildew spore germination. Preventive use gives best results.,10,Dr. Krish
cucumber,Cucumber,Cucumis sativus,root_knot_nematode_cucumber,Root-knot Nematode,pest,high,Meloidogyne incognita,galls on roots;wilting;yellowing;stunted plants;poor fruit production,ENCILO-WP-1KG,Encilo™ WP,bio-nematicide,Verticillium chlamydosporium 1x10^9 CFU/g WP,OMRI Listed;ECOCERT;ISO 9001:2015;GMP Certified,5 g per litre of water (drench),Soil drench and transplant root dip,At planting; repeat after 20-30 days,0,Store below 25°C;Avoid mixing with fungicides;Apply at planting for best root protection,"Verticillium chlamydosporium parasitizes Meloidogyne egg masses in the root zone, reducing juvenile hatching. Integrate with organic amendments for best suppression.",10,Dr. Krish
cucumber,Cucumber,Cucumis sativus,whitefly_cucumber,Whitefly,pest,medium,Bemisia tabaci,yellowing;sticky honeydew;sooty mould;leaf curl;virus vector activity,ECOZA-MAX-500,Ecoza™ Max,bio-pesticide,Azadirachtin 3.0% EC,OMRI Listed;ECOCERT;ISO 9001:2015;GMP Certified,0.5-0.75 ml per litre of water,Foliar spray on both leaf surfaces,Every 7-10 days; 2-3 sprays,3,Spray in early morning or evening;Wear mask and gloves;Avoid alkaline mixes,High-concentration Azadirachtin disrupts whitefly nymph development and reduces adult fecundity. Effective in greenhouse cucumber IPM programs.,10,Dr. Krish
banana,Banana,Musa spp.,panama_wilt,Panama Wilt / Fusarium Wilt,disease,high,Fusarium oxysporum f.sp. cubense,yellowing of older leaves;wilting;vascular discolouration;plant collapse,BIOTA-H-WP-1KG,Biota™-H WP,bio-fungicide,Trichoderma harzianum 1x10^8 CFU/g WP,OMRI Listed;ECOCERT;ISO 9001:2015;GMP Certified,5-10 g per litre of water (drench),Soil drench at planting and root zone application,Every 15-20 days; 2-3 applications,0,Store below 25°C;Avoid mixing with chemical fungicides;Apply preventively at planting,Trichoderma harzianum colonises the banana rhizosphere and suppresses Fusarium through mycoparasitism and enzyme production. Use preventively for Panama wilt management.,10,Dr. Krish
banana,Banana,Musa spp.,nematode_banana,Burrowing Nematode,pest,high,Radopholus similis,root lesions and blackening;reduced bunch weight;toppling disease;yellowing;stunted growth,ENCILO-WP-1KG,Encilo™ WP,bio-nematicide,Verticillium chlamydosporium 1x10^9 CFU/g WP,OMRI Listed;ECOCERT;ISO 9001:2015;GMP Certified,5 g per litre of water (drench),Root-zone drench at planting and sucker establishment,At planting; repeat after 20-30 days,0,Store below 25°C;Avoid mixing with fungicides;Apply at suckers transplanting,Verticillium chlamydosporium parasitizes nematode egg masses and reduces Radopholus populations in banana root zones. Integrate with organic matter for sustained control.,10,Dr. Krish
banana,Banana,Musa spp.,anthracnose_banana,Anthracnose,disease,medium,Colletotrichum musae,dark sunken lesions on fruit;post-harvest rot;brown skin discolouration,ELIXORA-WP-1KG,Elixora™ WP,bio-fungicide,Bacillus amyloliquefaciens 1x10^9 CFU/g WP,OMRI Listed;ECOCERT;ISO 9001:2015;GMP Certified,5 g per litre of water,Foliar and bunch spray; preventive application from bunch emergence,Every 10-15 days; 2-3 sprays,0,Do not mix with fungicides;Store below 25°C;Apply preventively on bunch,Bacillus amyloliquefaciens lipopeptides suppress Colletotrichum on banana bunches. Preventive spray at bunch emergence and fruit fill gives best results.,10,Dr. Krish
citrus,Citrus,Citrus sinensis,citrus_leaf_miner,Citrus Leaf Miner,pest,medium,Phyllocnistis citrella,silvery serpentine mines on new leaves;leaf curling;stunted flush growth,ECOZA-MAX-500,Ecoza™ Max,bio-pesticide,Azadirachtin 3.0% EC,OMRI Listed;ECOCERT;ISO 9001:2015;GMP Certified,0.5-0.75 ml per litre of water,Foliar spray on new flush; thorough coverage critical,Every 7-10 days during flush; 2-3 sprays,3,Spray in early morning;Wear mask and gloves;Target new flush growth;Avoid alkaline mixes,Azadirachtin disrupts leaf miner larval development and oviposition on citrus flush; apply at flush emergence for maximum efficacy.,10,Dr. Krish
citrus,Citrus,Citrus sinensis,citrus_aphid,Aphids,pest,medium,Toxoptera aurantii,curled new leaves;sticky honeydew;sooty mould;ant activity on shoots,MARGOSHINE-EC-500,MargoShine™ EC,bio-pesticide,Neem Oil 70% EC,OMRI Listed;ECOCERT;ISO 9001:2015;GMP Certified,5 ml per litre of water,Foliar spray on new shoot flush,Every 10-15 days; 2-3 sprays during flush flush,3,Spray in morning or late afternoon;Wear mask;Avoid alkaline mixes;Store below 25°C,Neem oil smothers aphid colonies on citrus flush and provides antifeedant activity; reduces sooty mould build-up and supports clean fruit finish.,10,Dr. Krish
tea,Tea,Camellia sinensis,tea_mosquito_bug,Tea Mosquito Bug,pest,high,Helopeltis theivora,necrotic spots on tender shoots;blister-like lesions;shoot dieback;crop loss,SPINDURA-PLUS-250,Spindura™ Plus,bio-pesticide,Spinosad 25.2% SC,OMRI Listed;ECOCERT;ISO 9001:2015;GMP Certified,0.25-0.35 ml per litre of water,Foliar spray on tender shoots and plucking table,Every 7-10 days; 2 sprays at pest surge,3,Apply at early morning;Wear PPE;Avoid during peak pollinator activity;Rotate MOA,Spinosad provides rapid knockdown of tea mosquito bug nymphs and adults with minimal residue risk. Ideal for export-quality tea programs.,10,Dr. Krish
tea,Tea,Camellia sinensis,tea_red_spider_mite,Red Spider Mite,pest,medium,Oligonychus coffeae,reddish-brown discolouration of leaves;bronzing;webbing;leaf drop,ADMIRA-ADYME-500,Admira™ Adyme,bio-pesticide,Thyme Oil EC/WP,OMRI Listed;ECOCERT;ISO 9001:2015;GMP Certified,1-2 ml per litre of water,Foliar spray ensuring thorough coverage,Every 7-10 days; 2-3 sprays,3,Spray in early morning;Wear PPE;Avoid alkaline mixes;Store below 25°C,Thyme oil disrupts mite cell membranes and repels re-infestation; safe residue profile supports export tea quality requirements.,10,Dr. Krish
coffee,Coffee,Coffea arabica,coffee_berry_borer,Coffee Berry Borer,pest,high,Hypothenemus hampei,pin holes at coffee berry tip;frass inside berry;bean damage;premature berry drop,MYCOVA-WP-500,Mycova™ WP,bio-pesticide,Beauveria bassiana 1x10^9 CFU/g WP,OMRI Listed;ECOCERT;ISO 9001:2015;GMP Certified,2-3 g per litre of water,Spray on berries and branches during berry development,Every 10-15 days; 2-3 sprays from berry formation,3,Spray in evening for spore viability;Avoid mixing with fungicides;Store below 25°C;Wear PPE,Beauveria bassiana infects coffee berry borer through cuticle; spore germination and colonisation of the pest is favoured by humid plantation conditions.,10,Dr. Krish
coffee,Coffee,Coffea arabica,coffee_leaf_rust,Coffee Leaf Rust,disease,high,Hemileia vastatrix,orange powdery pustules on leaf undersides;yellowing;early leaf drop;defoliation,ELIXORA-WP-1KG,Elixora™ WP,bio-fungicide,Bacillus amyloliquefaciens 1x10^9 CFU/g WP,OMRI Listed;ECOCERT;ISO 9001:2015;GMP Certified,5 g per litre of water,Foliar spray on leaf underside; ensure thorough coverage,Every 10-15 days; 2-3 sprays,0,Avoid mixing with fungicides;Store below 25°C;Apply preventively before rust onset,Bacillus amyloliquefaciens lipopeptides suppress Hemileia sporulation on coffee leaves. Preventive application at flush and before rains gives best results.,10,Dr. Krish
mango,Mango,Mangifera indica,mango_hopper,Mango Hopper,pest,high,Idioscopus clypealis,nymph and adult feeding on panicles;honey dew deposits;sooty mould;flower drop;yield loss,K-GUARD-EC-500,K-Guard™ EC,bio-pesticide,Karanjin 2% EC,OMRI Listed;ECOCERT;ISO 9001:2015;GMP Certified,2-3 ml per litre of water,Foliar spray on panicles and new flush,Every 7-10 days during flowering; 2-3 sprays,3,Spray in evening;Wear mask and gloves;Avoid alkaline mixes;Spray before pollination if possible,Karanjin provides contact and antifeedant action against mango hopper nymphs and adults on panicles; reduces sooty mould and supports clean fruit set.,10,Dr. Krish
mango,Mango,Mangifera indica,powdery_mildew_mango,Powdery Mildew,disease,high,Oidium mangiferae,white powdery coating on flowers and young fruit;flower and fruit drop;yield loss,SUBTILIX-WP-1KG,Subtilix™ WP,bio-fungicide,Bacillus subtilis 1x10^9 CFU/g WP,OMRI Listed;ECOCERT;ISO 9001:2015;GMP Certified,5 g per litre of water,Foliar spray targeting panicles and young fruit,Every 10-15 days during flowering; 2-3 sprays,0,Avoid mixing with fungicides;Store below 25°C;Apply at panicle emergence,Bacillus subtilis colonises mango panicles and suppresses Oidium mangiferae sporulation through lipopeptide production. Apply at panicle emergence for best protection.,10,Dr. Krish
sugarcane,Sugarcane,Saccharum officinarum,white_grub,White Grub,pest,high,Holotrichia consanguinea,wilting ratoon and plant crop;root damage;yellowing;poor tillering;plant death,REXORA-WP-500,Rexora™ WP,bio-pesticide,Metarhizium anisopliae 1x10^9 CFU/g WP,OMRI Listed;ECOCERT;ISO 9001:2015;GMP Certified,2-3 g per litre of water,Soil drench and furrow application at planting,At planting; repeat after 15 days if required,0,Apply to moist soil;Avoid mixing with fungicides;Store below 25°C;Wear PPE,Metarhizium anisopliae infects white grub larvae in the soil through cuticle colonisation. Furrow application at planting ensures contact with soil-dwelling grubs.,10,Dr. Krish
sugarcane,Sugarcane,Saccharum officinarum,early_shoot_borer,Early Shoot Borer,pest,high,Chilo infuscatellus,dead heart in young tillers;leaf yellowing;borer entry hole at base;frass,SPINDURA-PLUS-250,Spindura™ Plus,bio-pesticide,Spinosad 25.2% SC,OMRI Listed;ECOCERT;ISO 9001:2015;GMP Certified,0.25-0.35 ml per litre of water,Foliar spray targeting young shoot bases,Every 7-10 days; 2-3 sprays at tillering stage,3,Apply at early larval instar;Wear PPE;Rotate MOA;Spray in early morning,Spinosad causes rapid feeding cessation in early shoot borer larvae; most effective when applied at first sign of dead heart on young tillers.,10,Dr. Krish
pepper,Black Pepper,Piper nigrum,phytophthora_pepper,Phytophthora Foot Rot (Quick Wilt),disease,high,Phytophthora capsici,sudden wilting;water-soaked collar lesion;vine collapse;black rotted stem base,BIOTA-H-WP-1KG,Biota™-H WP,bio-fungicide,Trichoderma harzianum 1x10^8 CFU/g WP,OMRI Listed;ECOCERT;ISO 9001:2015;GMP Certified,5-10 g per litre of water (drench),Soil drench around vine base; apply to well-moist soil,Every 15-20 days; 2-3 applications,0,Store below 25°C;Avoid mixing with fungicides;Apply preventively before monsoon season,Trichoderma harzianum suppresses Phytophthora through mycoparasitism and antibiosis in the vine root zone. Preventive drenching before monsoon onset is critical.,10,Dr. Krish
grape,Grape,Vitis vinifera,downy_mildew_grape,Downy Mildew,disease,high,Plasmopara viticola,oily spots on upper leaf surface;white downy growth on underside;shoot tip dieback;fruit rot,ELIXORA-WP-1KG,Elixora™ WP,bio-fungicide,Bacillus amyloliquefaciens 1x10^9 CFU/g WP,OMRI Listed;ECOCERT;ISO 9001:2015;GMP Certified,5 g per litre of water,Foliar spray covering leaf underside thoroughly,Every 10-15 days; 2-3 sprays from shoot emergence,0,Do not mix with fungicides;Store below 25°C;Apply preventively before rain periods,Bacillus amyloliquefaciens suppresses Plasmopara viticola through lipopeptide production; preventive spray before wet periods gives best canopy protection in vineyards.,10,Dr. Krish
grape,Grape,Vitis vinifera,mealybug_grape,Mealybug,pest,medium,Maconellicoccus hirsutus,white waxy mass on canes and bunches;honeydew;sooty mould;bunch contamination,SEIRA-WP-500,Seira™ WP,bio-pesticide,Verticillium lecanii 1x10^9 CFU/g WP,OMRI Listed;ECOCERT;ISO 9001:2015;GMP Certified,2-3 g per litre of water,Foliar spray targeting canes and bunch stem,Every 10-15 days; 2-3 sprays,3,Spray in evening for spore viability;Avoid mixing with fungicides;Store below 25°C,Verticillium lecanii infects mealybug through cuticle penetration; best applied under humid vineyard conditions to maximise spore germination and colony collapse.,10,Dr. Krish
soybean,Soybean,Glycine max,soybean_aphid,Soybean Aphid,pest,medium,Aphis glycines,curled trifoliates;yellowing;honeydew;sooty mould;reduced pod fill,ECOZA-ACE-500,Ecoza™ Ace,bio-pesticide,Azadirachtin 1.2% EC,OMRI Listed;ECOCERT;ISO 9001:2015;GMP Certified,1.5-2.5 ml per litre of water,Foliar spray covering canopy thoroughly,Every 7-10 days; 2-3 sprays,3,Spray in early morning or evening;Wear PPE;Avoid alkaline mixes,Azadirachtin disrupts aphid reproduction and feeding on soybean; reduces virus vector pressure. Safe for beneficial insects when applied in low-light hours.,10,Dr. Krish
soybean,Soybean,Glycine max,soybean_caterpillar,Spodoptera / Armyworm,pest,high,Spodoptera litura,skeletonized leaves;mass defoliation;circular feeding marks;frass on leaves,SPINDURA-PLUS-250,Spindura™ Plus,bio-pesticide,Spinosad 25.2% SC,OMRI Listed;ECOCERT;ISO 9001:2015;GMP Certified,0.25-0.35 ml per litre of water,Foliar spray at dusk targeting young larvae,Every 7-10 days; 2 sprays at early infestation,3,Apply at early larval stage;Wear PPE;Spray at dusk when larvae are active;Rotate MOA,Spinosad causes rapid feeding cessation in Spodoptera larvae; highly effective against early instar armyworm. Apply at dusk when larvae move to feed.,10,Dr. Krish
okra,Okra,Abelmoschus esculentus,jassids_okra,Jassids / Leafhoppers,pest,medium,Amrasca biguttula biguttula,yellowing from leaf margins;leaf curl;hopperburn;reduced plant vigor,ADMIRA-ADRLIC-500,Admira™ Adrlic,bio-pesticide,Garlic Oil EC/WP,OMRI Listed;ECOCERT;ISO 9001:2015;GMP Certified,1-2 ml per litre of water,Foliar spray covering leaf surface thoroughly,Every 7-10 days; 2-3 sprays,3,Spray in early morning;Wear mask and gloves;Avoid alkaline mixes;Store below 25°C,Garlic oil provides repellent and contact insecticidal action against jassids on okra; reduces feeding damage and hopperburn while supporting residue-sensitive programs.,10,Dr. Krish
okra,Okra,Abelmoschus esculentus,whitefly_okra,Whitefly / Yellow Vein Mosaic Vector,pest,high,Bemisia tabaci,yellowing;sticky honeydew;sooty mould;yellow vein mosaic virus symptoms,MARGOSPIN-EC-500,MargoSpin™ EC,bio-pesticide,Neem Oil 70% + Spinosad 0.8% EC,OMRI Listed;ECOCERT;ISO 9001:2015;GMP Certified,5 ml per litre of water,Foliar spray on both leaf surfaces; cover thoroughly,Every 7-10 days; 2-3 sprays,3,Spray in early morning or evening;Wear PPE;Avoid alkaline mixes;Confirm with jar test,Dual-active neem and spinosad combination controls whitefly adults and nymphs on okra; reduces yellow vein mosaic virus spread by suppressing whitefly vector populations.,10,Dr. Krish
